Date,Target,MSFT,AMD
2019-07-23,208.83999599999999,139.28999299999998,33.490002000000004
2019-07-24,208.669998,140.720001,34.110001000000004
2019-07-25,207.020004,140.190002,33.669998
2019-07-26,207.740005,141.33999599999999,34.02
2019-07-29,209.679993,141.029999,33.48
2019-07-30,208.779999,140.350006,33.869999
2019-07-31,213.039993,136.270004,30.450001
2019-08-01,208.429993,138.059998,29.860001
2019-08-02,204.020004,136.899994,29.440001000000002
2019-08-05,193.33999599999999,132.21000700000002,27.99
2019-08-06,197.0,134.690002,28.860001
2019-08-07,199.03999299999998,135.279999,29.190001000000002
2019-08-08,203.429993,138.889999,33.919998
2019-08-09,200.990005,137.71000700000002,34.189999
2019-08-12,200.479996,135.78999299999998,32.43
2019-08-13,208.970001,138.600006,32.110001000000004
2019-08-14,202.75,133.979996,30.24
2019-08-15,201.740005,133.679993,29.67
2019-08-16,206.5,136.130005,31.18
2019-08-19,210.350006,138.41000400000001,31.48
2019-08-20,210.36000099999998,137.259995,30.719998999999998
2019-08-21,212.63999900000002,138.78999299999998,31.700001
2019-08-22,212.460007,137.779999,31.9
2019-08-23,202.639999,133.389999,29.540001
2019-08-26,206.490005,135.449997,30.280001000000002
2019-08-27,204.16000400000001,135.740005,30.200001
2019-08-28,205.529999,135.559998,30.780001000000002
2019-08-29,209.009995,138.119995,31.450001
2019-08-30,208.740005,137.860001,31.450001
2019-09-03,205.699997,136.03999299999998,30.9
2019-09-04,209.190002,137.630005,30.950001
2019-09-05,213.27999900000003,140.050003,31.5
2019-09-06,213.25999500000003,139.100006,30.559998999999998
2019-09-09,214.169998,137.520004,30.5
2019-09-10,216.69999700000002,136.080002,30.23
2019-09-11,223.58999599999999,136.119995,29.76
2019-09-12,223.08999599999999,137.520004,30.209999
2019-09-13,218.75,137.320007,30.690001000000002
2019-09-16,219.899994,136.330002,30.83
2019-09-17,220.69999700000002,137.389999,30.99
2019-09-18,222.770004,138.520004,30.42
2019-09-19,220.960007,141.070007,30.290001
2019-09-20,217.729996,139.440002,30.049999
2019-09-23,218.72000099999997,139.139999,30.639999
2019-09-24,217.67999300000002,137.380005,29.52
2019-09-25,221.02999900000003,139.360001,29.540001
2019-09-26,219.88999900000002,139.53999299999998,29.469998999999998
2019-09-27,218.82000699999998,137.729996,28.719998999999998
2019-09-30,223.97000099999997,139.029999,28.99
2019-10-01,224.58999599999999,137.070007,28.76
2019-10-02,218.960007,134.649994,28.309998999999998
2019-10-03,220.82000699999998,136.279999,28.68
